iter	Passed	Remaining
0	17	31717
1	28	26392
2	45	27741
3	64	29581
4	72	26485
5	106	32328
6	118	30818
7	143	32560
8	156	31658
9	172	31353
10	188	31105
11	204	30958
12	239	33358
13	253	32862
14	265	32102
15	315	35740
16	339	36163
17	359	36121
18	419	39933
19	449	40594
20	513	44152
21	575	47194
22	648	50860
23	694	52120
24	757	54545
25	823	57010
26	886	59061
27	901	57917
28	968	60038
29	1036	62026
30	1056	61200
31	1120	62837
32	1157	62877
33	1184	62410
34	1209	61872
35	1277	63496
36	1331	64367
37	1352	63629
38	1372	62910
39	1389	62035
40	1402	61073
41	1464	62201
42	1478	61308
43	1498	60708
44	1520	60166
45	1587	61419
46	1648	62392
47	1662	61571
48	1676	60787
49	1689	60024
50	1716	59733
51	1727	58940
52	1741	58274
53	1808	59341
54	1870	60214
55	1933	61126
56	1945	60378
57	1961	59795
58	1977	59220
59	1997	58800
60	2060	59610
61	2122	60388
62	2155	60315
63	2214	60974
64	2229	60391
65	2242	59810
66	2302	60440
67	2368	61229
68	2403	61193
69	2467	61890
70	2481	61344
71	2546	62040
72	2609	62661
73	2660	62983
74	2729	63713
75	2793	64330
76	2814	63929
77	2841	63686
78	2854	63126
79	2872	62687
80	2899	62469
81	2913	61971
82	2933	61599
83	2997	62165
84	3015	61762
85	3058	61872
86	3080	61580
87	3146	62147
88	3208	62621
89	3276	63205
90	3288	62693
91	3302	62246
92	3322	61919
93	3392	62510
94	3404	62041
95	3416	61573
96	3431	61158
97	3440	60668
98	3500	61068
99	3562	61484
100	3572	61015
101	3582	60558
102	3592	60091
103	3603	59661
104	3613	59232
105	3623	58790
106	3637	58441
107	3646	58009
108	3710	58441
109	3722	58066
110	3732	57662
111	3745	57314
112	3758	56982
113	3768	56595
114	3776	56184
115	3789	55864
116	3797	55462
117	3804	55075
118	3867	55484
119	3876	55106
120	3938	55494
121	3953	55215
122	3965	54906
123	3975	54567
124	4036	54925
125	4063	54823
126	4126	55199
127	4198	55692
128	4216	55468
129	4234	55247
130	4245	54929
131	4253	54585
132	4263	54268
133	4271	53938
134	4293	53778
135	4305	53506
136	4366	53836
137	4376	53535
138	4386	53237
139	4448	53570
140	4462	53324
141	4475	53073
142	4486	52800
143	4497	52529
144	4557	52835
145	4572	52612
146	4641	53017
147	4704	53340
148	4731	53253
149	4740	52968
150	4751	52712
151	4819	53080
152	4833	52848
153	4853	52694
154	4866	52468
155	4880	52247
156	4897	52068
157	4915	51891
158	4925	51642
159	4939	51436
160	4957	51267
161	5011	51474
162	5024	51260
163	5034	51025
164	5047	50811
165	5059	50599
166	5079	50461
167	5088	50215
168	5098	49986
169	5160	50268
170	5172	50059
171	5233	50324
172	5245	50116
173	5305	50369
174	5330	50284
175	5339	50055
176	5349	49842
177	5359	49621
178	5422	49896
179	5432	49679
180	5441	49458
181	5449	49224
182	5508	49458
183	5572	49726
184	5582	49514
185	5596	49343
186	5605	49132
187	5615	48925
188	5627	48741
189	5640	48567
