iter	RMSE
0	7.954109099
1	5.595648944
2	3.940174439
3	2.781124207
4	1.969374281
5	1.402042926
6	1.010199571
7	0.7347165097
8	0.5492832021
9	0.4236930768
10	0.3488986863
11	0.2932810705
12	0.2631719074
13	0.2395254004
14	0.2251602873
15	0.2184158301
16	0.208980852
17	0.2054513902
18	0.2044425325
19	0.2039809471
20	0.2022595275
21	0.202053297
22	0.2019529267
23	0.2014610426
24	0.2012115499
25	0.2011591034
26	0.2010812713
27	0.2009597068
28	0.2009496459
29	0.2008658739
30	0.1880741231
31	0.1795310758
32	0.1795288872
33	0.173195478
34	0.1730096712
35	0.1729682968
36	0.1729617245
37	0.1729465333
38	0.1729414822
39	0.1729246182
40	0.1728647428
41	0.1728611844
42	0.170217449
43	0.168534063
44	0.1684449667
45	0.1684179699
46	0.1683730882
47	0.1683579645
48	0.1683544015
49	0.16830327
50	0.1683005274
51	0.1682991618
52	0.1682984931
53	0.1682981588
54	0.1645211687
55	0.1628528344
56	0.1628024763
57	0.1627536379
58	0.1586000158
59	0.1585977428
60	0.1585819574
61	0.1585800992
62	0.1569112412
63	0.1569106456
64	0.1569103478
65	0.1569084758
66	0.15690444
67	0.1568880466
68	0.156887457
69	0.156876983
70	0.154063436
71	0.1540249408
72	0.1539961716
73	0.1539948835
74	0.1539586012
75	0.1539557022
76	0.151881234
77	0.1518789233
78	0.1518785277
79	0.1518783079
80	0.1514675386
81	0.1514672426
82	0.1514671104
83	0.1514670223
84	0.1514489384
85	0.1514489321
86	0.1513580705
87	0.1513436222
88	0.149320398
89	0.1493145285
90	0.1492578905
91	0.149253028
92	0.1492529577
93	0.1492529258
94	0.149252913
95	0.149252913
96	0.1492529066
97	0.1492196192
98	0.1491933815
99	0.1484098646
100	0.148382224
101	0.1483803601
102	0.148357741
103	0.1483577345
104	0.1483273581
105	0.1483273581
106	0.1483273581
107	0.1483193853
108	0.1470807781
109	0.1470618306
110	0.1470459418
111	0.1470370304
112	0.1470354738
113	0.1470342609
114	0.1470337939
115	0.147024739
116	0.1470244471
117	0.1470242266
118	0.1470240774
119	0.1470221768
120	0.1470198805
121	0.1470198676
122	0.1470198676
123	0.1470198611
124	0.1470198611
125	0.1470198546
126	0.1470197832
127	0.1466982098
128	0.1466922678
129	0.1466921118
130	0.1466850448
131	0.1466849343
132	0.1466807863
133	0.1458876648
134	0.1436436733
135	0.1436436002
136	0.1436425048
137	0.1436424716
138	0.1436412234
139	0.1436405993
140	0.1433074508
141	0.1432394764
142	0.1432385909
143	0.1432338371
144	0.1432328184
145	0.1432301085
146	0.1432298421
147	0.1432215123
148	0.1414190567
149	0.1414145586
150	0.1414131424
151	0.1414126771
152	0.1414123804
153	0.1414116655
154	0.1414115441
155	0.1414111867
156	0.1408005699
157	0.1408003396
158	0.1408001839
159	0.1407998791
160	0.1407996826
161	0.1407996014
162	0.1407996014
163	0.1407994794
164	0.1407994794
165	0.1407993914
166	0.1407993507
167	0.1407993101
168	0.1407988698
169	0.1407988495
170	0.1407988495
171	0.1406515139
172	0.1406508019
173	0.1406505985
174	0.14065049
175	0.1406504155
176	0.140650368
177	0.1406467472
178	0.1406467065
179	0.1406466794
180	0.1406466523
181	0.1406466319
182	0.1406466183
183	0.1406463878
184	0.140646381
185	0.1406463742
186	0.1406463539
187	0.1406462183
188	0.1406462115
189	0.1406461844
190	0.1406460962
191	0.1406460556
192	0.1406460216
193	0.1406460081
194	0.1406460013
195	0.1406460081
196	0.1406459877
197	0.1406459877
198	0.1406459877
199	0.1406459877
200	0.1406459877
201	0.1406459877
202	0.1406459877
203	0.140645981
204	0.1406459742
205	0.1406459538
206	0.1406459606
207	0.1406459606
208	0.1406459674
209	0.1406459674
210	0.1406459674
211	0.1406459674
212	0.1406459674
213	0.1406459674
214	0.1406459674
215	0.1406459674
216	0.1406459471
217	0.1406459538
218	0.1406459538
219	0.1406459538
220	0.1406459538
221	0.1406459606
222	0.1406459606
223	0.1406459606
224	0.1406459606
225	0.1406459606
226	0.1406459606
227	0.1406459606
228	0.1406459606
229	0.1406459606
230	0.1406459606
231	0.1406459606
232	0.1398202887
233	0.1398187472
234	0.1398174717
235	0.1398158347
236	0.1398145114
237	0.139813727
238	0.139812697
239	0.139811326
240	0.1398106371
241	0.1398097298
242	0.1398090341
243	0.1398086794
244	0.1398082019
245	0.1398080382
246	0.1398078949
247	0.1398077858
248	0.1398076835
249	0.1398075948
250	0.1398075197
251	0.1398074584
252	0.1398074106
253	0.1398073629
254	0.1398073219
255	0.1398072878
256	0.1398072605
257	0.1398072333
258	0.1398072128
259	0.1398071923
260	0.1398071787
261	0.139807165
262	0.1398071582
263	0.1398071446
264	0.1398071378
265	0.1398071309
266	0.1398071241
267	0.1398071173
268	0.1398071173
269	0.1398071105
270	0.1398071036
271	0.1398071036
272	0.1398071036
273	0.1398070968
274	0.1398070968
275	0.1398070968
276	0.1398047639
277	0.1398046889
278	0.139804607
279	0.1398045456
280	0.1398045115
281	0.1398044706
282	0.1398044433
283	0.1398044024
284	0.1398043819
285	0.1398043478
286	0.1398043205
287	0.1398043137
288	0.1398043137
289	0.1398043137
290	0.1398043137
291	0.1398043137
292	0.1398043137
293	0.1398043137
294	0.1384855014
295	0.1384854945
296	0.1384039969
297	0.1384013578
298	0.1384013371
299	0.1384012889
300	0.1384012406
301	0.1384012406
302	0.1384012269
303	0.1384012269
304	0.1384012131
305	0.1384011993
306	0.1384011993
307	0.1384011855
308	0.1384011855
309	0.1384011855
310	0.1384011855
311	0.1384011717
312	0.1384009788
313	0.1384009719
314	0.1384009719
315	0.1384009581
316	0.1384009581
317	0.1384009581
318	0.1384009581
319	0.1384009443
320	0.1384009443
321	0.1384009443
322	0.1384009443
323	0.1384009306
324	0.1384009306
325	0.1384009306
326	0.1384009306
327	0.1384009306
328	0.1384009306
329	0.1384009306
330	0.1384009168
331	0.1384009168
332	0.1368605292
333	0.1351855296
334	0.1351855155
335	0.1351848524
336	0.1351848594
337	0.1351847959
338	0.135184803
339	0.135184803
340	0.13518481
341	0.13518481
342	0.13518481
343	0.13518481
344	0.13518481
345	0.13518481
346	0.13518481
347	0.1351847889
348	0.1351847889
349	0.1351847889
350	0.1351847889
351	0.1351847818
352	0.1351847818
353	0.1351847818
354	0.1351847818
355	0.1338845605
356	0.1333768599
357	0.1329226479
358	0.1327924287
359	0.1321976808
360	0.13219688
361	0.1321968512
362	0.1321967718
363	0.1321967574
364	0.1321950837
365	0.1321950621
366	0.1321950621
367	0.1321950549
368	0.1321950477
369	0.1321950477
370	0.1321950477
371	0.1321950404
372	0.1321950404
373	0.132195026
374	0.132195026
375	0.132195026
376	0.130722665
377	0.130720936
378	0.1307209287
379	0.1302124576
380	0.1296789327
381	0.1296777634
382	0.1296770059
383	0.1296765132
384	0.1296764911
385	0.1296697912
386	0.1296697765
387	0.129665827
388	0.1296640471
389	0.1296587515
390	0.1296390894
391	0.1296390746
392	0.1296390673
393	0.1296390526
394	0.1296385376
395	0.1296380153
396	0.129637824
397	0.1295033372
398	0.1295028512
399	0.1295028512
400	0.1295028438
401	0.1295028438
402	0.1295028438
403	0.1295028365
404	0.1295028365
405	0.1295028365
406	0.1295028291
407	0.1295028291
408	0.1295027334
409	0.1294942496
410	0.129494257
411	0.1294941981
412	0.1294941686
413	0.1294941465
414	0.1294941391
415	0.129494117
416	0.1294468128
417	0.1294467686
418	0.1294467392
419	0.1294467171
420	0.1294467171
421	0.1294467023
422	0.129446695
423	0.1294466876
424	0.1294466802
425	0.1294466802
426	0.1294466802
427	0.1294466655
428	0.1294466655
429	0.1294466655
430	0.1294466508
431	0.1294466508
432	0.1294466508
433	0.1294466434
434	0.1294466434
435	0.1294465771
436	0.1294465845
437	0.1294465771
438	0.1294465771
439	0.129177988
440	0.1291769766
441	0.1291769692
442	0.1291762088
443	0.1288840905
444	0.1288840683
445	0.1288840535
446	0.1288840461
447	0.1288840313
448	0.1288840239
449	0.1288839795
450	0.1288839721
451	0.1288839721
452	0.1288839647
453	0.1288839647
454	0.1288839499
455	0.1288839425
456	0.1288839055
457	0.1288839055
458	0.1288839129
459	0.1288839129
460	0.1288839055
461	0.1288104299
462	0.1287319786
463	0.1281349662
464	0.1280710619
465	0.1280666982
466	0.1278496663
467	0.1278494575
468	0.1278490323
469	0.1278490323
470	0.1278173484
471	0.1278172663
472	0.1278170574
473	0.1278169306
474	0.1278169306
475	0.1278169306
476	0.1278169306
477	0.1278169306
478	0.1278169306
479	0.1277749243
480	0.1277651241
481	0.1277651241
482	0.127212528
483	0.1272125354
484	0.1272122131
485	0.1272122056
486	0.1272121981
487	0.1272120557
488	0.1272120482
489	0.1272120482
490	0.1272120482
491	0.1272120482
492	0.1272120482
493	0.1272120482
494	0.1272120482
495	0.1272120482
496	0.1272120482
497	0.1272120482
498	0.1272120482
499	0.1269046933
500	0.1267591366
501	0.1267584294
502	0.1267573611
503	0.1267572482
504	0.1267571504
505	0.1267571429
506	0.1267571504
507	0.1267571504
508	0.1267571053
509	0.1267571053
510	0.1267571053
511	0.1267571053
512	0.1267456688
513	0.1267456162
514	0.1267455861
515	0.1267455785
516	0.1267442693
517	0.1267442317
518	0.1267441941
519	0.1267441715
520	0.1267441715
521	0.1267441339
522	0.1267441339
523	0.1267441339
524	0.1267441339
525	0.1267441339
526	0.1267441339
527	0.1267441339
528	0.1267441339
529	0.1267441263
530	0.1267441263
531	0.1267441113
532	0.1267440962
533	0.1267440962
534	0.1267440962
535	0.1267440812
536	0.1267440812
537	0.1267440661
538	0.1267440586
539	0.1267440586
540	0.126744021
541	0.1267440135
542	0.1267440135
543	0.1267440135
544	0.1267439984
545	0.1267439984
546	0.1267439909
547	0.1267439909
548	0.1267439909
549	0.1267439909
550	0.1267439909
551	0.1267439909
552	0.1267439909
553	0.1267439909
554	0.1267439909
