iter	Passed	Remaining
0	13	55574
1	22	46441
2	38	51264
3	57	58024
4	77	62425
5	90	60983
6	109	63350
7	129	65405
8	149	67100
9	170	68567
10	189	69430
11	210	70582
12	230	71319
13	250	72158
14	271	72800
15	291	73332
16	311	73820
17	332	74306
18	351	74462
19	370	74581
20	391	74941
21	404	73966
22	417	72962
23	437	73233
24	453	72898
25	467	72242
26	480	71469
27	495	70995
28	507	70192
29	520	69576
30	540	69949
31	561	70298
32	568	69000
33	588	69331
34	607	69583
35	621	69165
36	630	68255
37	644	67873
38	659	67648
39	674	67426
40	698	68172
41	712	67796
42	732	68135
43	754	68542
44	771	68520
45	790	68629
46	802	68224
47	818	68102
48	830	67633
49	846	67563
50	856	67018
51	867	66535
52	878	66108
53	889	65655
54	912	66144
55	935	66570
56	947	66205
57	967	66418
58	989	66812
59	1006	66765
60	1028	67094
61	1048	67266
62	1070	67610
63	1082	67284
64	1094	66948
65	1108	66769
66	1123	66658
67	1146	66991
68	1164	67025
69	1185	67249
70	1206	67474
71	1224	67507
72	1245	67688
73	1258	67483
74	1278	67592
75	1294	67536
76	1313	67642
77	1331	67671
78	1342	67316
79	1354	67085
80	1376	67293
81	1389	67104
82	1405	67018
83	1418	66819
84	1431	66602
85	1440	66247
86	1460	66378
87	1472	66161
88	1498	66518
89	1512	66406
90	1535	66656
91	1551	66590
92	1558	66169
93	1566	65782
94	1575	65437
95	1582	65031
96	1590	64658
97	1610	64798
98	1623	64625
99	1643	64774
100	1663	64882
101	1674	64648
102	1696	64866
103	1704	64516
104	1726	64726
105	1735	64411
106	1743	64104
107	1756	63954
108	1775	64062
109	1789	63934
110	1805	63933
111	1825	64055
112	1834	63784
113	1844	63530
114	1854	63300
115	1865	63105
116	1875	62894
117	1884	62640
118	1893	62396
119	1913	62517
120	1922	62286
121	1929	61986
122	1936	61694
123	1944	61413
124	1951	61141
125	1958	60866
126	1967	60651
127	1989	60826
128	2003	60747
129	2012	60547
130	2025	60448
131	2034	60240
132	2045	60099
133	2065	60235
134	2087	60389
135	2095	60168
136	2104	59974
137	2111	59732
138	2126	59694
139	2138	59576
140	2159	59721
141	2182	59922
142	2191	59723
143	2219	60075
144	2230	59935
145	2246	59921
146	2257	59797
147	2275	59860
148	2296	59982
149	2313	59999
150	2327	59954
151	2334	59731
152	2341	59501
153	2355	59456
154	2366	59342
155	2379	59262
156	2399	59356
157	2407	59158
158	2414	58959
159	2425	58845
160	2436	58726
161	2444	58540
162	2452	58355
163	2467	58343
164	2475	58149
165	2486	58036
166	2497	57929
167	2508	57841
168	2520	57737
169	2534	57700
170	2541	57512
171	2560	57598
172	2572	57508
173	2580	57338
174	2590	57219
175	2597	57044
176	2604	56867
177	2625	56970
178	2632	56796
179	2639	56624
180	2649	56497
181	2658	56373
182	2667	56246
183	2680	56194
184	2688	56028
185	2695	55871
186	2703	55717
187	2716	55666
188	2723	55507
189	2730	55348
190	2744	55316
191	2757	55288
192	2770	55242
193	2778	55091
194	2787	54968
195	2803	55006
196	2814	54916
197	2822	54782
198	2830	54641
199	2837	54502
200	2850	54461
201	2857	54315
202	2866	54197
203	2881	54205
204	2893	54145
205	2908	54137
206	2923	54139
207	2930	54001
208	2940	53916
209	2949	53807
210	2956	53672
211	2966	53581
212	2975	53469
213	2985	53386
214	2992	53257
215	3003	53188
216	3012	53083
217	3022	52996
218	3029	52863
219	3037	52762
220	3044	52625
221	3053	52533
222	3060	52402
223	3069	52302
224	3077	52192
225	3086	52103
226	3095	52013
227	3102	51890
228	3109	51768
229	3117	51653
230	3125	51545
231	3134	51468
232	3157	51598
233	3168	51543
234	3179	51499
235	3192	51476
236	3203	51411
237	3213	51354
238	3224	51294
239	3233	51211
240	3242	51124
241	3250	51035
242	3260	50957
243	3270	50893
244	3285	50897
245	3293	50803
246	3300	50700
247	3309	50622
248	3319	50548
249	3326	50442
250	3335	50364
251	3343	50267
252	3351	50185
253	3359	50087
254	3366	49982
255	3373	49881
256	3380	49777
257	3389	49703
258	3399	49635
259	3408	49564
260	3417	49489
261	3425	49415
262	3433	49318
263	3440	49217
264	3449	49148
265	3456	49051
266	3463	48956
267	3472	48889
268	3482	48833
269	3491	48767
270	3501	48705
271	3508	48619
272	3516	48541
273	3526	48481
274	3535	48412
275	3542	48330
276	3561	48391
277	3570	48330
278	3578	48247
279	3590	48225
280	3598	48151
281	3606	48072
282	3619	48068
283	3634	48082
284	3647	48066
285	3662	48092
286	3676	48093
287	3686	48039
288	3695	47982
289	3704	47917
290	3713	47852
291	3723	47807
292	3733	47762
293	3743	47706
294	3764	47802
295	3772	47731
296	3793	47817
297	3812	47886
298	3823	47849
299	3836	47835
300	3848	47819
301	3856	47744
