iter	Passed	Remaining
402	9031	31889
403	9052	31863
404	9062	31796
405	9072	31732
406	9080	31658
407	9140	31768
408	9157	31726
409	9165	31653
410	9178	31600
411	9240	31712
412	9247	31639
413	9282	31659
414	9345	31774
415	9357	31717
416	9385	31712
417	9418	31726
418	9428	31661
419	9436	31589
420	9444	31519
421	9452	31448
422	9461	31383
423	9478	31340
424	9527	31406
425	9541	31357
426	9603	31464
427	9663	31564
428	9696	31576
429	9708	31519
430	9716	31448
431	9750	31461
432	9810	31562
433	9871	31660
434	9907	31680
435	9914	31608
436	9979	31719
437	10047	31841
438	10115	31959
439	10131	31914
440	10148	31870
441	10210	31971
442	10222	31914
443	10231	31846
444	10239	31776
445	10246	31705
446	10254	31635
447	10262	31565
448	10278	31520
449	10286	31453
450	10301	31408
451	10309	31340
452	10317	31271
453	10383	31378
454	10433	31438
455	10442	31374
456	10456	31322
457	10468	31267
458	10532	31367
459	10594	31460
460	10623	31455
461	10633	31394
462	10649	31351
463	10673	31331
464	10683	31268
465	10692	31205
466	10702	31144
467	10714	31091
468	10725	31033
469	10785	31117
470	10849	31211
471	10857	31145
472	10866	31083
473	10874	31016
474	10883	30955
475	10893	30894
476	10902	30834
477	10912	30774
478	10922	30714
479	10981	30794
480	10996	30748
481	11006	30689
482	11017	30634
483	11028	30579
484	11067	30601
485	11088	30572
486	11103	30527
487	11116	30478
488	11126	30421
489	11137	30367
490	11146	30307
491	11162	30264
492	11170	30203
493	11210	30226
494	11238	30218
495	11246	30157
496	11262	30115
497	11272	30058
498	11286	30014
499	11356	30118
500	11368	30067
501	11386	30032
502	11395	29972
503	11414	29941
504	11422	29878
505	11431	29822
506	11498	29914
507	11561	29994
508	11590	29988
509	11655	30075
510	11667	30026
511	11686	29993
512	11695	29934
513	11706	29880
514	11714	29819
515	11723	29763
516	11731	29702
517	11740	29646
518	11748	29586
519	11809	29658
520	11818	29603
521	11837	29572
522	11913	29682
523	11922	29624
524	11932	29570
525	11940	29510
526	11949	29454
527	11958	29397
528	11969	29346
529	12032	29424
530	12043	29371
531	12053	29317
532	12123	29409
533	12193	29501
534	12262	29591
535	12277	29548
536	12285	29489
537	12295	29436
538	12305	29382
539	12314	29327
540	12322	29268
541	12331	29213
542	12339	29155
543	12368	29148
544	12379	29097
545	12398	29064
546	12406	29008
547	12444	29022
548	12455	28972
549	12463	28916
550	12471	28859
551	12483	28812
552	12499	28774
553	12523	28754
554	12538	28715
555	12546	28658
556	12554	28602
557	12565	28554
558	12582	28518
559	12590	28463
560	12597	28406
561	12605	28351
562	12613	28296
563	12622	28243
564	12638	28207
565	12646	28152
566	12657	28104
567	12669	28059
568	12682	28017
569	12692	27967
570	12702	27918
571	12710	27865
572	12724	27824
573	12731	27770
574	12739	27717
575	12749	27668
576	12761	27624
577	12769	27570
578	12784	27534
579	12793	27483
580	12800	27430
581	12808	27378
582	12818	27329
583	12825	27276
584	12837	27233
585	12906	27309
586	12914	27259
587	12921	27206
588	12929	27154
589	12938	27104
590	12998	27161
591	13007	27112
592	13016	27065
593	13024	27014
594	13032	26962
595	13042	26916
596	13052	26870
597	13064	26827
598	13071	26776
599	13079	26725
600	13087	26674
601	13094	26624
602	13105	26580
603	13115	26534
604	13132	26503
605	13141	26455
606	13148	26406
607	13156	26356
608	13164	26307
609	13172	26258
610	13182	26214
611	13190	26166
612	13201	26123
613	13212	26080
614	13223	26038
615	13233	25993
616	13241	25945
617	13250	25901
618	13260	25856
619	13268	25808
620	13275	25760
621	13336	25815
622	13401	25877
623	13415	25841
624	13425	25798
625	13433	25750
626	13493	25802
627	13527	25804
628	13586	25856
629	13646	25906
630	13712	25969
631	13731	25941
632	13747	25910
633	13760	25872
634	13829	25937
635	13893	25995
636	13908	25960
637	13924	25928
638	13989	25985
639	14006	25955
640	14024	25926
641	14043	25898
642	14114	25967
643	14177	26021
644	14196	25993
645	14214	25964
646	14222	25917
647	14237	25882
648	14246	25836
649	14255	25790
650	14264	25746
651	14275	25704
652	14285	25661
653	14293	25614
654	14301	25567
655	14308	25520
656	14317	25475
657	14385	25535
658	14465	25615
659	14524	25660
660	14544	25633
661	14553	25588
662	14562	25544
663	14571	25499
664	14592	25475
665	14603	25435
666	14619	25403
667	14627	25357
668	14640	25319
669	14709	25378
670	14748	25386
671	14761	25349
672	14774	25312
673	14788	25276
674	14852	25327
675	14867	25291
676	14874	25245
677	14886	25205
678	14893	25159
679	14957	25208
680	14971	25172
681	15037	25224
682	15077	25231
683	15140	25279
684	15155	25244
685	15169	25209
686	15184	25174
687	15243	25213
688	15258	25180
689	15272	25144
690	15286	25108
691	15295	25065
692	15307	25026
693	15321	24991
694	15335	24955
695	15344	24912
696	15382	24916
697	15449	24966
698	15461	24927
699	15474	24891
