iter	RMSE
0	8.85393737
1	6.92974728
2	5.42901541
3	4.257486964
4	3.343193549
5	2.629399107
6	2.074170233
7	1.64124348
8	1.301000756
9	1.037898724
10	0.8389601239
11	0.6867225663
12	0.5684614372
13	0.4835088013
14	0.4215463511
15	0.3685582728
16	0.3338641677
17	0.3117613514
18	0.2842127131
19	0.2720050274
20	0.2622504899
21	0.2560657875
22	0.2500268405
23	0.2479256835
24	0.2367801458
25	0.2344738804
26	0.2335050108
27	0.2307598172
28	0.2292776239
29	0.2285290517
30	0.2279800444
31	0.2277141455
32	0.2275349199
33	0.2273506304
34	0.2272256564
35	0.218584146
36	0.2049433065
37	0.2042341271
38	0.2030679561
39	0.2027795951
40	0.202580186
41	0.1943921607
42	0.1940499175
43	0.1938713211
44	0.1925528637
45	0.1921537008
46	0.1921034843
47	0.1873268208
48	0.1872431597
49	0.1838825501
50	0.1838463209
51	0.1836984793
52	0.1768080239
53	0.1764989351
54	0.1764947078
55	0.176454867
56	0.1764223081
57	0.1763880693
58	0.1763544015
59	0.1700380017
60	0.1700293333
61	0.1700240297
62	0.1700109585
63	0.1699732941
64	0.1699509002
65	0.1699244291
66	0.168900363
67	0.1669719832
68	0.1669682685
69	0.1669638272
70	0.1616051634
71	0.1615753206
72	0.1615615375
73	0.1615319205
74	0.1592331638
75	0.1592214994
76	0.1588677276
77	0.1549370442
78	0.152367883
79	0.152359118
80	0.1523567897
81	0.1523532219
82	0.1523265924
83	0.1523056086
84	0.1522978695
85	0.1522816912
86	0.1522696221
87	0.152253298
88	0.1522455712
89	0.1522396632
90	0.1486958996
91	0.1486907509
92	0.1486889115
93	0.1486876416
94	0.1486836164
95	0.1486828544
96	0.1486797065
97	0.1486792062
98	0.1486786289
99	0.1474144247
100	0.14741163
101	0.1474101939
102	0.1474091536
103	0.1458043402
104	0.1451470657
105	0.1451461748
106	0.1451452366
107	0.145144732
108	0.1451436203
109	0.1451398279
110	0.1451392523
111	0.145132369
112	0.1451313361
113	0.1420437163
114	0.1420415652
115	0.141805371
116	0.1413277256
117	0.1413254421
118	0.1403183985
119	0.140290023
120	0.1401726267
121	0.1401477573
122	0.1401461814
123	0.1401312787
124	0.1401304702
125	0.1401300293
126	0.1401294413
127	0.1400236711
128	0.140023287
129	0.1383197034
