iter	Passed	Remaining
0	21	87208
1	31	63643
2	43	58252
3	64	65487
4	86	69711
5	99	67076
6	118	68339
7	138	69850
8	158	71017
9	176	71271
10	193	70753
11	214	72038
12	236	73165
13	256	73920
14	277	74612
15	298	75007
16	318	75372
17	339	75974
18	361	76473
19	382	76934
20	396	75961
21	418	76439
22	438	76689
23	452	75741
24	461	74174
25	473	73048
26	485	72234
27	494	70886
28	505	69997
29	518	69353
30	526	68040
31	535	67071
32	548	66593
33	561	66189
34	573	65618
35	586	65201
36	610	66043
37	626	66004
38	647	66488
39	655	65561
40	662	64657
41	671	63918
42	680	63266
43	705	64111
44	717	63722
45	728	63237
46	735	62527
47	748	62225
48	765	62375
49	773	61765
50	785	61476
51	798	61255
52	811	61098
53	822	60713
54	830	60196
55	851	60567
56	861	60246
57	871	59846
58	881	59484
59	893	59251
60	901	58846
61	910	58410
62	917	57921
63	924	57472
64	932	57019
65	939	56587
66	947	56208
67	957	55941
68	980	56463
69	1002	56861
70	1015	56775
71	1037	57178
72	1048	57001
73	1058	56720
74	1072	56711
75	1094	57084
76	1116	57479
77	1132	57534
78	1144	57396
79	1167	57800
80	1181	57741
81	1191	57542
82	1202	57347
83	1218	57398
84	1226	57067
85	1237	56897
86	1253	56976
87	1262	56713
88	1269	56386
89	1280	56202
90	1288	55915
91	1297	55691
92	1318	55990
93	1339	56261
94	1353	56199
95	1361	55938
96	1368	55654
97	1375	55354
98	1382	55060
99	1389	54763
100	1397	54502
101	1405	54267
102	1413	54035
103	1436	54378
104	1445	54191
105	1454	53990
106	1464	53851
107	1474	53684
108	1481	53429
109	1488	53208
110	1500	53125
111	1509	52968
112	1530	53213
113	1543	53156
114	1555	53101
115	1577	53380
116	1598	53620
117	1619	53848
118	1629	53688
119	1640	53590
120	1650	53455
121	1659	53295
122	1666	53078
123	1675	52925
124	1684	52773
125	1693	52621
126	1702	52481
127	1711	52315
128	1733	52582
129	1743	52441
130	1754	52371
131	1774	52554
132	1784	52425
133	1792	52275
134	1799	52079
135	1808	51933
136	1829	52138
137	1838	52009
138	1870	52513
139	1885	52548
140	1907	52771
141	1917	52639
142	1930	52633
143	1952	52827
144	1962	52732
145	1975	52706
146	1986	52615
147	1998	52581
148	2016	52684
149	2032	52717
150	2044	52670
151	2065	52842
152	2072	52677
153	2095	52898
154	2103	52744
155	2111	52595
156	2133	52779
157	2149	52830
158	2161	52778
159	2171	52661
160	2192	52826
161	2202	52736
162	2214	52677
163	2221	52527
164	2242	52682
165	2250	52529
166	2258	52384
167	2279	52547
168	2301	52719
169	2320	52837
170	2331	52759
171	2338	52596
172	2346	52458
173	2353	52301
174	2361	52163
175	2369	52043
176	2379	51949
177	2388	51843
178	2396	51715
179	2406	51619
180	2415	51521
181	2423	51395
182	2431	51269
183	2440	51166
184	2455	51183
185	2467	51132
186	2476	51031
187	2501	51271
188	2512	51211
189	2533	51357
190	2541	51228
191	2563	51390
192	2579	51421
193	2586	51296
194	2594	51161
195	2601	51037
196	2610	50943
197	2635	51150
198	2643	51030
199	2652	50947
200	2661	50851
201	2677	50880
202	2697	50994
203	2706	50900
204	2718	50878
205	2726	50764
206	2736	50692
207	2746	50616
208	2756	50542
209	2766	50474
210	2778	50438
211	2787	50342
212	2796	50255
213	2805	50173
214	2826	50296
215	2846	50406
216	2854	50299
217	2868	50296
218	2875	50174
219	2882	50056
220	2894	50031
221	2902	49933
222	2927	50118
223	2944	50171
224	2964	50280
225	2987	50429
226	2996	50349
227	3018	50476
228	3034	50507
229	3043	50423
230	3050	50309
231	3058	50214
232	3065	50100
233	3072	49987
234	3079	49872
235	3087	49778
236	3108	49885
237	3128	49989
238	3145	50031
239	3166	50149
