iter	Passed	Remaining
0	14	26652
1	24	22264
2	42	25687
3	97	44322
4	125	45620
5	138	42004
6	151	39330
7	175	39842
8	194	39363
9	210	38275
10	234	38730
11	272	41195
12	288	40270
13	327	42425
14	364	43988
15	429	48531
16	449	47868
17	510	51308
18	574	54609
19	606	54750
20	666	57308
21	728	59773
22	810	63548
23	872	65530
24	923	66522
25	983	68082
26	1008	67208
27	1072	68889
28	1105	68514
29	1167	69883
30	1187	68764
31	1206	67658
32	1243	67551
33	1280	67475
34	1330	68070
35	1363	67802
36	1390	67251
37	1407	66206
38	1423	65204
39	1448	64692
40	1464	63776
41	1513	64288
42	1526	63296
43	1543	62519
44	1555	61552
45	1574	60935
46	1593	60304
47	1612	59727
48	1675	60758
49	1690	60041
50	1704	59314
51	1718	58631
52	1739	58178
53	1751	57474
54	1763	56774
55	1779	56231
56	1795	55720
57	1810	55203
58	1871	56061
59	1883	55431
60	1892	54768
61	1912	54414
62	1926	53913
63	1987	54728
64	2000	54191
65	2063	55016
66	2135	56054
67	2204	57005
68	2226	56683
69	2240	56207
70	2280	56365
71	2294	55908
72	2312	55539
73	2327	55115
74	2343	54715
75	2357	54274
76	2369	53826
77	2386	53485
78	2398	53041
79	2435	53161
80	2453	52847
81	2468	52509
82	2483	52147
83	2543	52757
84	2567	52594
85	2586	52336
86	2597	51925
87	2611	51578
88	2643	51599
89	2657	51258
90	2675	51005
91	2689	50693
92	2708	50474
93	2741	50504
94	2762	50330
95	2833	51059
96	2897	51648
97	2912	51349
98	2972	51849
99	2990	51614
100	3009	51391
101	3027	51177
102	3043	50905
103	3064	50745
104	3079	50474
105	3142	50990
106	3155	50692
107	3167	50386
108	3179	50080
109	3190	49778
110	3205	49532
111	3266	49986
112	3278	49693
113	3290	49419
114	3339	49679
115	3350	49393
116	3366	49167
117	3379	48923
118	3392	48661
119	3405	48408
120	3414	48111
121	3423	47814
122	3439	47621
123	3455	47433
124	3472	47253
125	3533	47673
126	3543	47404
127	3559	47216
128	3624	47676
129	3689	48130
130	3699	47864
131	3713	47657
132	3724	47415
133	3740	47235
134	3806	47676
135	3867	48056
136	3898	48061
137	3963	48480
138	3975	48246
139	3994	48102
140	4005	47868
141	4016	47635
142	4027	47402
143	4040	47190
144	4054	47008
145	4067	46804
146	4083	46645
147	4098	46467
148	4110	46267
149	4122	46063
150	4134	45862
151	4146	45668
152	4159	45478
153	4211	45721
154	4224	45540
155	4236	45348
156	4247	45155
157	4260	44980
158	4272	44789
159	4283	44600
160	4292	44394
161	4302	44194
162	4313	44009
163	4323	43812
164	4334	43634
165	4406	44061
166	4474	44446
167	4538	44795
168	4599	45097
169	4658	45383
170	4735	45834
171	4757	45753
172	4771	45590
173	4832	45876
174	4844	45706
175	4852	45492
176	4914	45786
177	4934	45682
178	4943	45489
179	4954	45304
180	4970	45174
181	5027	45409
182	5038	45239
183	5063	45184
184	5073	45000
185	5092	44900
186	5101	44716
187	5163	44992
188	5228	45282
189	5241	45131
190	5254	44975
191	5267	44827
192	5330	45103
193	5351	45021
194	5366	44890
195	5385	44790
196	5412	44758
197	5424	44602
198	5494	44925
199	5564	45239
200	5580	45117
201	5591	44957
202	5651	45185
203	5663	45030
204	5676	44884
205	5694	44785
206	5713	44686
207	5724	44530
208	5736	44380
209	5746	44220
210	5757	44070
211	5821	44323
212	5835	44189
213	5896	44419
214	5958	44649
215	6010	44799
216	6079	45078
217	6094	44954
218	6159	45196
219	6175	45078
220	6189	44951
221	6202	44814
222	6217	44695
223	6231	44563
224	6245	44441
225	6259	44315
226	6276	44209
227	6290	44085
228	6303	43959
229	6317	43841
230	6333	43732
231	6347	43609
232	6369	43544
233	6431	43757
234	6446	43644
235	6496	43771
236	6510	43652
237	6569	43836
238	6581	43702
239	6641	43886
240	6701	44072
241	6763	44270
242	6798	44289
243	6822	44234
244	6888	44453
245	6905	44353
246	6969	44551
247	7029	44730
248	7062	44729
249	7123	44908
250	7135	44773
251	7200	44975
252	7217	44874
253	7227	44728
254	7236	44584
255	7298	44760
256	7317	44672
257	7331	44557
258	7355	44502
259	7365	44360
260	7384	44276
261	7397	44158
262	7418	44087
263	7429	43956
264	7440	43829
265	7450	43694
266	7459	43557
267	7469	43423
268	7483	43315
269	7494	43191
270	7504	43060
271	7515	42940
272	7525	42808
273	7537	42696
274	7549	42579
275	7558	42450
276	7624	42635
277	7637	42526
278	7646	42397
279	7656	42275
280	7666	42151
281	7675	42027
282	7685	41903
283	7696	41791
284	7706	41668
285	7715	41545
286	7730	41454
287	7742	41345
288	7802	41495
289	7811	41375
290	7821	41259
291	7842	41199
292	7853	41091
293	7864	40982
294	7877	40884
295	7939	41038
296	8006	41220
297	8022	41137
298	8085	41292
299	8153	41475
300	8180	41445
301	8242	41596
302	8309	41765
303	8372	41915
304	8438	42083
305	8457	42011
306	8477	41943
307	8541	42099
308	8607	42258
309	8668	42394
310	8722	42492
311	8783	42621
312	8845	42755
313	8878	42751
314	8899	42688
315	8912	42589
316	8925	42488
317	8985	42611
318	9049	42751
319	9110	42874
320	9171	42998
321	9193	42943
322	9254	43063
323	9268	42965
324	9287	42894
325	9350	43023
326	9362	42918
327	9378	42830
328	9437	42943
329	9451	42847
330	9511	42960
331	9572	43077
332	9632	43187
333	9693	43299
334	9753	43410
335	9813	43519
336	9882	43665
337	9930	43719
338	9991	43826
339	10000	43708
340	10064	43827
341	10131	43962
342	10159	43926
343	10211	43992
344	10228	43908
345	10240	43804
346	10254	43708
347	10265	43599
348	10333	43733
349	10398	43853
350	10409	43741
351	10472	43855
352	10532	43949
353	10542	43837
354	10602	43933
355	10664	44036
356	10674	43923
357	10688	43827
358	10700	43724
359	10770	43860
360	10843	44005
361	10904	44100
362	10966	44197
363	11030	44305
364	11096	44415
365	11158	44510
366	11211	44570
367	11236	44517
368	11305	44640
369	11321	44552
370	11383	44642
371	11448	44747
372	11461	44649
373	11471	44535
374	11504	44516
375	11538	44496
376	11598	44579
377	11663	44680
378	11726	44769
379	11751	44718
380	11812	44798
381	11872	44878
382	11904	44851
383	11936	44822
384	11959	44763
385	12024	44856
386	12059	44843
387	12125	44938
388	12146	44870
389	12216	44980
390	12289	45102
391	12356	45201
392	12369	45103
393	12434	45195
394	12462	45149
395	12527	45237
396	12604	45370
397	12620	45283
398	12681	45355
399	12695	45257
400	12744	45287
401	12752	45171
402	12813	45244
403	12821	45129
404	12832	45026
405	12905	45136
406	12976	45243
407	13037	45312
408	13089	45350
409	13153	45429
410	13162	45315
411	13186	45256
412	13249	45330
413	13311	45400
414	13373	45468
415	13438	45547
416	13500	45617
417	13562	45684
418	13577	45594
419	13642	45670
420	13704	45735
421	13737	45705
422	13769	45670
423	13836	45750
424	13898	45814
425	13957	45870
426	13972	45779
427	13993	45709
428	14009	45621
429	14033	45560
430	14060	45510
431	14079	45432
432	14102	45367
433	14170	45449
434	14185	45362
435	14247	45422
436	14323	45526
437	14351	45478
438	14372	45409
439	14424	45438
440	14491	45513
441	14542	45535
442	14557	45445
443	14577	45373
444	14641	45438
445	14705	45502
446	14765	45552
447	14827	45607
448	14843	45522
449	14853	45419
450	14871	45341
451	14932	45391
452	14945	45298
453	15024	45403
454	15085	45456
455	15111	45401
456	15172	45449
457	15196	45390
458	15219	45328
459	15239	45253
460	15302	45309
461	15318	45225
462	15329	45128
463	15343	45039
464	15355	44943
465	15417	44994
466	15478	45042
467	15542	45099
468	15561	45026
469	15578	44944
470	15627	44957
471	15697	45029
472	15727	44986
473	15743	44905
474	15796	44927
475	15861	44985
476	15878	44905
477	15940	44952
478	16009	45021
479	16035	44965
480	16044	44864
481	16068	44804
482	16083	44719
483	16098	44635
484	16113	44552
485	16129	44472
486	16142	44382
487	16152	44287
488	16165	44199
489	16181	44119
490	16195	44033
491	16210	43952
492	16219	43856
493	16230	43762
494	16245	43682
495	16261	43603
496	16277	43525
497	16286	43431
498	16302	43354
499	16319	43278
500	16333	43197
501	16351	43125
502	16363	43039
503	16380	42967
504	16398	42896
505	16411	42812
506	16422	42723
507	16433	42636
508	16444	42549
509	16460	42474
510	16470	42385
511	16484	42306
512	16499	42229
513	16514	42152
514	16523	42062
515	16536	41983
516	16546	41894
517	16555	41804
518	16565	41715
519	16572	41622
520	16583	41538
521	16595	41456
522	16604	41369
523	16612	41276
524	16619	41185
525	16635	41113
526	16649	41039
527	16660	40957
528	16673	40880
529	16683	40795
530	16692	40708
531	16705	40632
532	16728	40581
533	16736	40493
534	16744	40406
535	16755	40325
536	16762	40237
537	16777	40165
538	16789	40088
539	16797	40002
540	16805	39917
541	16813	39832
542	16821	39745
543	16834	39672
544	16854	39614
545	16862	39530
546	16870	39445
547	16880	39367
548	16888	39283
549	16900	39208
550	16908	39124
551	16928	39069
552	16939	38994
553	16947	38910
554	16955	38828
555	16965	38751
556	16976	38677
557	16988	38603
558	17008	38549
559	17015	38468
560	17030	38401
561	17043	38332
562	17053	38257
563	17063	38181
564	17071	38102
565	17082	38027
566	17098	37966
567	17115	37906
568	17126	37833
569	17138	37764
570	17148	37691
571	17162	37626
572	17177	37561
573	17187	37488
574	17202	37427
575	17214	37357
576	17226	37288
577	17287	37327
578	17348	37363
579	17369	37314
580	17377	37236
581	17385	37160
582	17392	37083
583	17401	37007
584	17409	36931
585	17417	36855
586	17426	36782
587	17442	36724
588	17458	36664
589	17473	36605
590	17536	36645
591	17555	36593
592	17573	36540
593	17591	36486
594	17612	36438
595	17629	36383
596	17642	36319
597	17662	36271
598	17678	36213
599	17695	36157
600	17763	36206
601	17777	36146
602	17790	36082
603	17803	36019
604	17814	35953
605	17827	35889
606	17842	35831
607	17905	35869
608	17926	35823
609	17999	35880
610	18060	35914
611	18078	35861
612	18137	35890
613	18145	35818
614	18157	35754
615	18168	35687
616	18183	35629
617	18194	35564
618	18262	35610
619	18330	35656
620	18369	35645
621	18393	35604
622	18457	35640
623	18509	35655
624	18524	35596
625	18592	35640
626	18613	35594
627	18649	35577
628	18718	35621
629	18786	35664
630	18856	35710
631	18928	35760
632	18997	35804
633	19066	35846
634	19128	35877
635	19187	35901
636	19251	35933
637	19314	35965
638	19381	36002
639	19442	36030
640	19508	36064
641	19575	36101
642	19643	36140
643	19712	36180
644	19779	36216
645	19847	36253
646	19915	36291
647	19980	36322
648	20044	36352
649	20115	36394
650	20183	36429
651	20250	36462
652	20316	36495
653	20387	36536
