iter	RMSE
0	8.860026806
1	6.934397096
2	5.431809461
3	4.267755451
4	3.351681887
5	2.636693667
6	2.081951872
7	1.644495592
8	1.304887668
9	1.043814506
10	0.8463479751
11	0.6911628574
12	0.5785181985
13	0.4883519002
14	0.4225670279
15	0.3770527704
16	0.3451138547
17	0.3184151915
18	0.3002491819
19	0.2899053037
20	0.2819827552
21	0.2689488531
22	0.2591684056
23	0.2557799164
24	0.2533585942
25	0.2511294715
26	0.2493841014
27	0.2483703744
28	0.2476088483
29	0.2462065502
30	0.2456392243
31	0.2448480975
32	0.2444579784
33	0.2439727805
34	0.2436004469
35	0.2432920527
36	0.243054537
37	0.2429858388
38	0.2428784388
39	0.2427636091
40	0.242640056
41	0.2425141559
42	0.2424855662
43	0.242440216
44	0.2424333239
45	0.2423097441
46	0.24227464
47	0.2422438488
48	0.2291729611
49	0.2291464926
50	0.2291235274
51	0.2291118991
52	0.2290414973
53	0.2290386892
54	0.2290368404
55	0.2289532596
56	0.2289329746
57	0.2289142475
58	0.2167038701
59	0.2166981559
60	0.2166969517
61	0.2166428858
62	0.2166409418
63	0.2137486778
64	0.2137403145
65	0.2043555246
66	0.1964548714
67	0.1947219871
68	0.1947002164
69	0.1946924045
70	0.1946195719
71	0.1946072991
72	0.1946013654
73	0.1945933907
74	0.1945883093
75	0.1945865331
76	0.194583563
77	0.1945608003
78	0.1945599239
79	0.1945137315
80	0.1945105131
81	0.1945073948
82	0.1945059179
83	0.1927598948
84	0.1927230515
85	0.1926696711
86	0.1926491536
87	0.1926235958
88	0.192593257
89	0.1925749956
90	0.192560459
91	0.1925512883
92	0.1925421053
93	0.1925175141
94	0.1925086683
95	0.1849975884
96	0.1784869047
97	0.1784812045
98	0.1756271845
99	0.1756207658
100	0.1756015215
101	0.1755988885
102	0.175596073
103	0.1755938766
104	0.1755926513
105	0.1715285462
106	0.1715269649
107	0.17152501
108	0.1715237223
109	0.1715228749
110	0.1715223078
111	0.1697765868
112	0.1697762296
113	0.1697759936
114	0.169720278
115	0.1697200217
116	0.1697198936
117	0.1697191991
118	0.1697190979
119	0.169719017
120	0.169716758
121	0.1697153419
122	0.1697125232
123	0.1697108913
124	0.1697093403
125	0.1666639482
126	0.1666630624
127	0.1666602333
128	0.1631678088
129	0.161639122
130	0.1616370617
131	0.1616355606
132	0.1616352774
133	0.16163401
134	0.1601064042
135	0.1600669996
136	0.1600656555
137	0.1575389057
138	0.1575370315
139	0.1574818983
140	0.1574803649
141	0.1574790496
142	0.1574778868
143	0.1574768258
144	0.1574758665
145	0.1574749581
146	0.1574741223
147	0.1574733229
148	0.1574725598
149	0.1574718476
150	0.1574711426
151	0.1574672399
152	0.1574664986
153	0.1574307223
154	0.1574300899
155	0.1574294865
156	0.1574289267
157	0.1574271457
158	0.1574260116
159	0.1574252992
160	0.157424863
161	0.1574245795
162	0.1574235472
163	0.1574232782
164	0.1574223695
165	0.1550895264
166	0.1542868347
167	0.1524824261
168	0.1510028508
169	0.1506483933
170	0.1490340956
171	0.1490201575
172	0.1490195278
173	0.148545122
174	0.148544575
175	0.1485442206
176	0.1485113656
177	0.1485111652
178	0.1485109957
179	0.1485108647
180	0.1485107105
181	0.1484896791
182	0.1484895327
183	0.1484431667
184	0.1484430587
185	0.1484235984
186	0.148422118
187	0.1467273076
188	0.1466625397
189	0.1466617749
190	0.1466611351
191	0.1466609166
